,species,strain,hit_score.malYcustom,hit_score.cysKcustom,hit_score.metCcustom,hit_score.tnaA,hit_score.cysMcustom,hit_score.lcdcustom,cysteine_expected,hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509,hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352,hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351,hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489,hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416,hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1,hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2,pathway,hit_score.acrC,hit_score.lcdC,hit_score.pct,hit_score.lcdA,hit_score.lcdB,hit_score.pduP,hit_score.Roseburia-inulivorans-pduCDE,hit_score.pduW,hit_score.fucO,hit_score.pduL,hit_score.pduC,hit_score.pduD,hit_score.pduE,propionate_expected
1,Acidaminococcus fermentans,Acidaminococcus_fermentans,563.7,509,496.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Acidaminococcus intestini,Acidaminococcus-intestini-D21-MAF-2,546.3,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Actinobacillus capsulatus,Actinobacillus_capsulatus,469.1,485,560.8,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Actinomyces neuii,Actinomyces_neuii,NA,522.2,514.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Adlercreutzia equolifaciens,Adlercreutzia_equolifaciens,NA,522,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Aggregatibacter actinomycetemcomitans,Aggregatibacter_actinomycetemcomitans,478,480.8,549,771.1,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Aliagarivorans marinus,Aliagarivorans_marinus,NA,510.4,594.3,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Alistipes finegoldii,Alistipes_finegoldii,570.2,NA,NA,845.8,416.3,NA,yes,915,583.6,90.4,172.6,NA,NA,NA,240.3,823.5,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
15,Alistipes indistinctus,Alistipes-indistinctus-YIT-12060-MAF-2,565.1,538.4,NA,NA,NA,NA,yes,926.3,588.8,100.9,185.6,NA,NA,NA,230,824.6,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
16,Alistipes onderdonkii,Alistipes-onderdonkii-DSM-19147-MAF-2,604.1,NA,NA,847.2,431.4,NA,yes,917.1,579.8,99.2,166.4,NA,NA,NA,239.1,823.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
19,Alistipes shahii,Alistipes-shahii-WAL-8301-MAF-2,569.3,NA,NA,843.7,433.8,NA,yes,914.6,589.8,86.5,170.6,NA,NA,NA,239.8,817.5,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
21,Anaerococcus prevotii,Anaerococcus_prevotii,NA,477.2,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Anaerostipes caccae,Anaerostipes-caccae-DSM-14662-MAF-2,NA,555.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Anaerostipes hadrus,Anaerostipes_hadrus,545.4,525,483.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Anaerotruncus colihominis,Anaerotruncus-colihominis-DSM-17241-MAF-2,527.9,553.3,NA,770.3,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Bacillus subtilis,Bacillus_subtilis,605.5,552,567.7,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Bacteroides acidifaciens,Bacteroides_acidifaciens,576.9,538.3,NA,856.5,NA,NA,yes,936.5,616.1,86.3,201.9,NA,NA,NA,240.1,858.8,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
28,Bacteroides caccae,Bacteroides-caccae-ATCC-43185-MAF-2,593.3,542.8,NA,NA,NA,NA,yes,937.7,617.7,88,203.2,NA,NA,NA,241.4,857.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
29,Bacteroides cellulosilyticus,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,616.7,543.3,NA,853.2,NA,NA,yes,934.7,614.4,88.9,201.5,NA,NA,NA,244.7,859.5,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
30,Bacteroides clarus,Bacteroides_clarus,590.5,553.4,NA,854.8,NA,90.6,yes,936.4,609.7,87.9,199.9,NA,NA,NA,241.2,860,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
32,Bacteroides dorei,Bacteroides-dorei-5-1-36-D4-MAF-2,601.2,534.4,NA,NA,NA,93.5,yes,942.3,612.8,90.2,199.3,NA,NA,NA,238.7,865,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
33,Bacteroides dorei,Bacteroides-dorei-DSM-17855-MAF-2,600.4,534.8,NA,NA,NA,98.1,yes,942.3,613,90.2,199.4,NA,NA,NA,238.7,867.6,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
35,Bacteroides faecis,Bacteroides_faecis,594.7,546.2,NA,854.2,NA,NA,yes,937.5,617.5,90.7,203,NA,NA,NA,241.5,862.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
36,Bacteroides finegoldii,Bacteroides-finegoldii-DSM-17565-MAF-2,568.8,539.5,NA,NA,NA,NA,yes,938.6,615.1,87.8,199.4,NA,NA,NA,241.4,857.8,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
37,Bacteroides fragilis,Bacteroides_fragilis,573.5,539.9,NA,NA,NA,95.6,yes,934.8,612.9,98.1,200.7,NA,NA,NA,239.1,860.1,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
38,Bacteroides fragilis,Bacteroides-fragilis-2-1-16-MAF-2,573.5,539.9,NA,NA,NA,95.6,yes,934.8,612.9,98.1,200.7,NA,NA,NA,239.1,860.1,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
39,Bacteroides fragilis,Bacteroides-fragilis-3-1-12-MAF-2,595.6,540.1,NA,NA,NA,95.4,yes,934.8,612.8,98.9,198.7,NA,NA,NA,241.8,858.6,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
40,Bacteroides gallinarum,Bacteroides_gallinarum,569.6,539.9,NA,856.2,NA,100.6,yes,934.4,609.9,88.6,197.5,NA,NA,NA,239.2,859.6,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
42,Bacteroides nordii,Bacteroides_nordii,596.4,545.3,NA,851.8,NA,88.2,yes,939.5,616.4,99,196,NA,NA,NA,241.4,853.2,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
43,Bacteroides ovatus,Bacteroides_ovatus,NA,NA,NA,NA,NA,NA,NA,936.5,616.4,86,202.5,NA,NA,NA,241.4,857.4,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
44,Bacteroides ovatus,Bacteroides-ovatus-ATCC-8483-MAF-2,594.4,543,NA,851.9,NA,87.6,yes,936.5,616.4,86,202.5,NA,NA,NA,241.4,857.4,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
48,Bacteroides salanitronis,Bacteroides_salanitronis,586.3,528,NA,NA,NA,104.1,yes,942.9,615.9,91.5,194.5,NA,NA,NA,236.2,852.3,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
49,Bacteroides salyersiae,Bacteroides_salyersiae,596.6,549,NA,853.5,NA,NA,yes,938,615.7,95.6,194,NA,NA,NA,241.4,864.2,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
53,Bacteroides stercoris,Bacteroides-stercoris-ATCC-43183-MAF-2,578.3,545.5,NA,855.8,NA,92.4,yes,938.8,609.9,87.6,199.8,NA,NA,NA,239.7,860.7,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
54,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron,600.4,546.8,NA,854.5,NA,NA,yes,936.6,612.7,89.3,203.5,NA,NA,NA,241.4,860,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
55,Bacteroides thetaiotaomicron,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,600.4,546.2,NA,855.4,NA,NA,yes,936.6,613.1,89.3,203.7,NA,NA,NA,241.4,857.6,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
56,Bacteroides thetaiotaomicron,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,600.4,546.8,NA,854.5,NA,NA,yes,936.6,612.7,89.3,203.5,NA,NA,NA,241.4,860,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
57,Bacteroides uniformis,Bacteroides-uniformis-ATCC-8492-MAF-2,593.7,555.4,NA,857.2,NA,99.4,yes,938.5,610.8,90.6,200.2,NA,NA,NA,246.4,857.8,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
58,Bacteroides xylanisolvens,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,589.3,543.8,NA,853.6,NA,NA,yes,936.5,616.4,86.1,202.5,NA,NA,NA,241.4,858.4,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
59,Barnesiella intestinihominis,Barnesiella_intestinihominis,561.2,533.9,NA,NA,NA,90.9,yes,938.9,605.3,86.7,181,NA,NA,NA,248.3,843.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
60,Bavariicoccus seileri,Bavariicoccus_seileri,529.9,NA,512.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Bifidobacterium adolescentis,Bifidobacterium_adolescentis,528.7,NA,486.9,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Bifidobacterium adolescentis,Bifidobacterium-adolescentis-L2-32-MAF-2,528.8,NA,486.9,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Bifidobacterium animalis,Bifidobacterium_animalis,516.1,NA,482.9,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Bifidobacterium bifidum,Bifidobacterium_bifidum,529.6,NA,484.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Bifidobacterium breve,Bifidobacterium_breve,530.2,NA,489.1,NA,NA,95.2,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Bifidobacterium longum,Bifidobacterium_longum,NA,NA,483.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Bifidobacterium pseudocatenulatum,Bifidobacterium_pseudocatenulatum,530.6,427.7,493,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Bilophila wadsworthia,Bilophila_wadsworthia,NA,485,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Blautia hydrogenotrophica,Blautia-hydrogenotrophica-DSM-10507-MAF-2,NA,525.5,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Blautia luti,Blautia_luti,NA,539,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Blautia obeum,Blautia-obeum-ATCC-29174-MAF-2,NA,543.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Blautia producta,Blautia_producta,563.3,535.1,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Brachymonas chironomi,Brachymonas_chironomi,NA,465.6,466.8,NA,521.1,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Butyricimonas virosa,Butyricimonas-virosa-DSM-23226-MAF-2,560.5,NA,NA,848,NA,NA,yes,910.8,597.2,112.6,161.3,NA,NA,NA,230.3,842.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
79,Caldicoprobacter faecalis,Caldicoprobacter_faecalis,NA,564.9,534.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Catenibacterium mitsuokai,Catenibacterium-mitsuokai-DSM-15897-MAF-2,574.9,530.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Citrobacter pasteurii,Citrobacter_pasteurii,537.1,514,559.9,752.4,548.9,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Clostridioides difficile,Clostridioides_difficile,592.9,472.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Collinsella aerofaciens,Collinsella_aerofaciens,NA,536.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Coprococcus comes,Coprococcus-comes-ATCC-27758-MAF-2,578.1,548.1,469.7,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Coprococcus eutactus,Coprococcus-eutactus-ATCC-27759-MAF-2,555.3,537.5,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Cutibacterium acnes,Cutibacterium_acnes,NA,499.7,NA,870,NA,NA,yes,779.2,NA,NA,NA,175.6,931,1051.3,181.5,779.1,Wood-Werkman Cycle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
92,Dorea formicigenerans,Dorea-formicigenerans-ATCC-27755-MAF-2,595.3,545.4,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Dorea longicatena,Dorea-longicatena-DSM-13814-MAF-2,590.2,529.1,471.1,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Dysgonomonas capnocytophagoides,Dysgonomonas_capnocytophagoides,566,553.1,NA,NA,NA,93.3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Eggerthella lenta,Eggerthella_lenta,NA,519.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Eisenbergiella tayi,Eisenbergiella_tayi,542.4,532.1,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Enterobacter asburiae,Enterobacter_asburiae,545.2,517.5,558.9,NA,545.6,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Enterobacter cloacae,Enterobacter_cloacae,536.8,517.9,557.1,NA,548.4,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Enterococcus casseliflavus,Enterococcus_casseliflavus,577.6,514.4,557.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Enterococcus durans,Enterococcus_durans,551.8,502.4,562.3,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Enterococcus faecalis,Enterococcus_faecalis,559.3,490.2,558.5,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Enterococcus faecium,Enterococcus_faecium,543.3,506.1,553.7,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Enterococcus gallinarum,Enterococcus_gallinarum,574.8,521.4,561,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Enterovibrio nigricans,Enterovibrio_nigricans,500.6,505,533.2,908.9,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Erysipelatoclostridium ramosum,Erysipelatoclostridium_ramosum,591.2,511.1,465.2,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
